position,title
Q16538794,Commander of the Land Forces
Q104518602,President of the Supreme Islamic Council
Q40338286,ambassador to Canada
Q26945231,ambassador to France
Q26945226,ambassador to Germany
Q107985938,ambassador to Ghana
Q104116542,ambassador to Greece
Q111033531,ambassador to Guinea
Q39061070,ambassador to Iran
Q112197863,ambassador to Kiribati
Q63145624,ambassador to Mali
Q26945245,ambassador to Morocco
Q107428635,ambassador to Qatar
Q104524824,ambassador to the Russian Federation
Q29645923,ambassador to the Soviet Union
Q107985911,ambassador to Tanzania
Q29645959,ambassador to the United Kingdom
Q26945242,ambassador to the United States of America
Q112337392,ambassador to Zimbabwe
