pageid,title,wikidata,label
7147439,Salah Goudjil,Q3469533,Salah Goudjil
41336550,Ramtane Lamamra,Q2130427,Ramtane Lamamra
54133968,Abdelmadjid Tebboune,Q2821166,Abdelmadjid Tebboune
62648512,Saïd Chengriha,Q79447739,Said Chengriha
63374819,Kamel Beldjoud,Q79142656,Kamel Beldjoud
64405680,Abdelbaki Benziane,Q96613419,Abdelbaqi Benziane
66268824,Abderrahmane Benguerrah,Q107039986,Abderrahmane Benguerrah
67199849,Mohamed Arkab,Q62638713,Mohamed Arkab
68092011,Aymen Benabderrahmane,Q96612848,Aymen Benabderrahmane
69357237,Ibrahim Boughali,Q107464379,Ibrahim Boughali
