name,position
Ramtane LAMAMRA,Ministre des Affaires étrangères et de la Communauté nationale à l'étranger
Kamal BELDJOUD,"Ministre de l’Intérieur, des Collectivités locales et de l’Aménagement du Territoire"
Abderrachid TABI,"Ministre de la Justice, garde des Sceaux"
Brahim Djamel Kessali,Ministre des Finances
Mohamed ARKAB,Ministre des l'Énergie et des Mines
Ziane BEN ATTOU,Ministre de la Transition énergétique et des Énergies renouvelables
Laïd REBIGUA,Ministre des Moudjahidine et des Ayants droit
Youcef BELMEHDI,Ministre des Affaires religieuses et des Wakfs
Abdelhakim BELABED,Ministre de l'Éducation nationale
Abdelbaqi BENZIANE,Ministre de l'Enseignement supérieur et de la Recherche scientifique
Yacine MERABI,Ministre de la Formation et de l’Enseignement professionnels
Soraya MOULOUDJI,Ministre de la Culture et des Arts
Abderezak SEBGAG,Ministre de la Jeunesse et des Sports
Hocine CHERHABIL,Ministre de la Numérisation et des Statistiques
Karim BIBI TRIKI,Ministre de la Poste et des Télécommunications
Kaouthar KRIKOU,"Ministre de la Solidarité nationale, de la Famille et de la Condition de la femme"
Ahmed ZEGHDAR,Ministre de l'Industrie
Mohamed Abdelhafid HENNI,Ministre de l'Agriculture et du Développement rural
Tarek BELARBI,"Ministre de l'Habitat, de l’Urbanisme et de la Ville"
Kamel REZIG,Ministre du Commerce et de la Promotion des exportations
Mohamed BOUSLIMANI,Ministre de la Communication
Kamel NASRI,Ministre des Travaux publics
MONGI Abdallah,Ministre des Transports
Karim HASNI,Ministre des Ressources en eau
Yacine HAMMADI,Ministre du Tourisme et de l’Artisanat
Abderrahmane BENBOUZID,Ministre de la Santé
Youcef CHERFA,"Ministre du Travail, de l'Emploi et de la Sécurité sociale"
Basma AZOUAR,Ministre des Relations avec le Parlement
Samia MOUALFI,Ministre de l’Environnement
Hichem Sofiane SALAOUATCHI,Ministre de la Pêche et des Productions halieutiques
Abderrahmane Lotfi BENBAHMAD,Ministre de l'Industrie pharmaceutique
Nassim DHIAFAT,Ministre délégué chargé des Micro-entreprises
Yacine El Mahdi OUALID,Ministre délégué chargé de l’Économie de la connaissance et des Starts-up
Yahia BOUKHARI,Secrétaire général du Gouvernement
